,歌曲名称,歌曲信息
0,The Show,《The Show》是由Steve Aoki、Carl Ryden、James Daniel Lewis作词，Steve Aoki、Carl Ryden作曲，Steve Aoki、林俊杰演唱的一首歌曲，发行于2023年5月26日。 [1]
1,愿与愁,《愿与愁》是林俊杰演唱的歌曲，由小寒作词，林俊杰作曲，于2023年4月14日以单曲形式发行 [2]，收录在林俊杰同年4月21日发行的专辑《重拾_快乐》中 [3]。
2,逆光白,《逆光白》是由易家扬作词，林俊杰作曲并演唱的一首歌曲，收录于林俊杰于2023年4月21日发行的专辑《重拾_快乐》中 [3]。
3,孤独娱乐,《孤独娱乐》是由易家扬作词，林俊杰作曲并演唱的一首歌曲，收录于2023年4月21日发行的专辑《重拾_快乐》中，作为专辑第二主打歌曲。 [1]
4,梦不凌乱,《梦不凌乱》是由方文山作词，林俊杰作曲并演唱的一首歌曲，收录于2023年4月21日发行的专辑《重拾_快乐》中。 [1]
5,自画像,《自画像》是由林怡凤作词，林俊杰作曲并演唱的一首歌曲，收录于2023年4月21日发行的专辑《重拾_快乐》中。 [1]
6,谢幕,《谢幕》是林俊杰演唱的歌曲，致敬已故好友林秋离，由林怡凤、林秋离作词，林俊杰作曲，发行于2023年3月25日 [1]，收录在林俊杰的专辑《重拾_快乐》中。 [2]
7,如果我还剩一件事情可以做,《如果我还剩一件事情可以做 》是由小寒作词，林俊杰作曲并演唱的一首歌曲，收录于2023年4月21日发行的专辑《重拾_快乐》中。 [1]
8,黑色泡沫,《黑色泡沫》是由周信廷、杨彤作词，林俊杰作曲并演唱的一首歌曲，收录于2023年4月21日发行的《重拾_快乐》专辑中。 [1]
9,你都在,《你都在》是由林怡凤、Rude Cat作词，林俊杰、Rude Cat作曲，林俊杰演唱的一首歌曲，《In The Joy》中文版，收录于2023年4月21日发行的专辑《重拾_快乐》中。 [1]
10,一时的选择,《一时的选择》是由蔡宥绮作词、作曲，林俊杰演唱的一首歌曲，收录于2023年4月21日发行的《重拾_快乐》专辑中。 [1]
11,Castle in the air,《Castle in the Air》是由林俊杰作词、作曲并演唱的一首歌曲，收录于2023年4月21日发行的专辑《重拾_快乐》中 [1-3]。该曲是《愿与愁》的英文版。
12,7千3百多天,《7千3百多天》是由方文山作词，林俊杰作曲并演唱的一首歌曲，发行于2022年11月1日 [1]，收录在林俊杰的专辑《重拾_快乐》中 [2] [4]，作为“JJ20“世界巡回演唱会的主题曲。
13,愿与愁,《愿与愁》是林俊杰演唱的歌曲，由小寒作词，林俊杰作曲，于2023年4月14日以单曲形式发行 [2]，收录在林俊杰同年4月21日发行的专辑《重拾_快乐》中 [3]。
14,In The Joy,《In The Joy》是由林俊杰、Anderson .Paak、Rude Cat作词、作曲，林俊杰、Anderson .Paak演唱的一首歌曲，发行于2023年4月7日。 [1]
15,谢幕,《谢幕》是林俊杰演唱的歌曲，致敬已故好友林秋离，由林怡凤、林秋离作词，林俊杰作曲，发行于2023年3月25日 [1]，收录在林俊杰的专辑《重拾_快乐》中。 [2]
16,Intro,"《Intro》是一支纯音乐作品，收录于林俊杰专辑《JJ的咖啡调调, Vol.》中 [1]。"
17,Too Bad,《Too Bad》是林俊杰演唱的一首歌曲，由林俊杰谱曲，并与林怡凤共同填词，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为该专辑的第六波主打 [1]。
18,身后,《身后》是林俊杰演唱的歌曲 [1]。
19,想见你想见你想见你,《想见你想见你想见你》是林俊杰演唱的歌曲 [1]。
20,恨幸福来过,《恨幸福来过》是林俊杰演唱的歌曲 [1]。
21,慢慢喜欢你,"《慢慢喜欢你》是林俊杰演唱的歌曲 [1]，收录于林俊杰的专辑《JJ的咖啡调调, Vol. 1》。"
22,You Are The Reason,《You Are The Reason》是林俊杰演唱的歌曲 [1]。
23,咖啡+交换余生,《咖啡+交换余生》是林俊杰演唱的歌曲 [1]。
24,圣所,《圣所》是林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2017年12月28日发行的概念专辑《伟大的渺小》中。
25,生生,《生生》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2014年12月27日发行的专辑《新地球GENESIS》中 [1]。
26,我还年轻 我还年轻,《我还年轻我还年轻》是林俊杰演唱的歌曲，由黄冠龙、 ALEX.D编曲 [2]。
27,你啊你啊,《你啊你啊》是林俊杰演唱的歌曲，由魏如萱填词并谱曲，收录于专辑《JJ的咖啡调调， Vol. 2》中。 [1]
28,那女孩对我说,《那女孩对我说》是林俊杰演唱的歌曲，由易家扬填词，李偲菘谱曲。 [2]
29,落在生命里的光,《落在生命里的光》是林俊杰演唱的歌曲，由贰叁伍、侯江浩、刘星宇谱曲。
30,是你,《是你》是林俊杰演唱的歌曲。
31,达尔文,《达尔文》是林俊杰演唱的一首歌曲，由蔡健雅谱曲，林可邦填词。
32,7千3百多天,《7千3百多天》是由方文山作词，林俊杰作曲并演唱的一首歌曲，发行于2022年11月1日 [1]，收录在林俊杰的专辑《重拾_快乐》中 [2] [4]，作为“JJ20“世界巡回演唱会的主题曲。
33,无拘,《无拘》是由张怀秋作词，林俊杰作曲并演唱的一首歌曲，发行于2022年8月19日。
34,From The Ashes,《From The Ashes》是林俊杰作曲并献唱的歌曲，《永劫无间》周年主题曲英文版，2022年8月19日发行。 [1]
35,At Least I Had You,《At Least I Had You》是由Josh Wei、Joel Tan、JJ Lin、Myra Choo作词，JJ Lin、Joel Tan、Josh Wei、Myra Choo作曲， Gentle Bones、林俊杰演唱的歌曲。该歌曲于2021年11月19日发行。 [1]
36,一定会,《一定会》是由小寒作词，林俊杰作曲，Troy Laureta编曲，林俊杰演唱的歌曲，发行于2021年11月29日，收录于单曲专辑《一定会/After The Rain》中，《After The Rain》中文版本。 [1]
37,After The Rain,《After The Rain》是由林俊杰作词、作曲并演唱的歌曲，于2021年11月29日发行 [2]。
38,At Least I Had You,《At Least I Had You》是由Josh Wei、Joel Tan、JJ Lin、Myra Choo作词，JJ Lin、Joel Tan、Josh Wei、Myra Choo作曲， Gentle Bones、林俊杰演唱的歌曲。该歌曲于2021年11月19日发行。 [1]
39,裹着心的光,《裹着心的光》是由易家扬作词，林俊杰作曲，林俊杰演唱的歌曲，该曲于2021年6月9日以单曲形式发行 [1]，后收录在林俊杰2021年7月17日发行的同名专辑《裹着心的光》中 [4]。
40,While I Can,《While I Can》是林俊杰演唱的歌曲，由Josh Cumbee、林俊杰、Fernando Garibay作词，Josh Cumbee、林俊杰、Fernando Garibay、Ramiro Padilla、Daniel Padilla作曲，收录于2020年10月20日发行的专辑《如你》中。 [1]
41,Like You Do,《Like You Do》是林俊杰演唱的歌曲，由Nasri Atweh、林俊杰、Fernando Garibay作词，Nasri Atweh、林俊杰、Fernando Garibay、Ramiro Padilla、Daniel Padilla作曲 [1-2]，收录在林俊杰2020年10月20日由华纳唱片发行的双维度EP专辑《幸存者·如你》中的《Like You Do 如你》EP中 [1]。
42,Not Tonight,《Not Tonight》是2020年林俊杰演唱的歌曲。
43,All In Your Mind,《All In Your Mind》是林俊杰演唱的歌曲，收录于林俊杰2020年发行的英文EP《Like You Do》 [1]。
44,Head On,《Head On》是林俊杰演唱的歌曲，由Shungudzo Kuyimba、林俊杰、Tushar Apte创作词曲，收录于林俊杰2020年发行的英文EP《Like You Do》 [1]。
45,Steady My Love,《Steady My Love》是林俊杰演唱的歌曲，收录于音乐专辑《Like You Do》 [1]。
46,过,《过》是由林怡凤作词，王嘉尔、林俊杰和BOYTOY作曲，王嘉尔、林俊杰共同演唱的歌曲，发行于2020年12月17日 [1]。
47,最向往的地方,《最向往的地方》是由杨彤作词，林俊杰作曲并演唱的一首歌曲，收录于2020年10月20日发行的专辑《幸存者 Drifter》中。 [1]
48,交换余生,《交换余生》是林俊杰演唱的歌曲，由易家扬作词，林俊杰作曲，收录于林俊杰2020年发行的音乐EP《幸存者》。
49,幸存者,《幸存者》是由小寒作词，林俊杰作曲并演唱的歌曲，收录于林俊杰2020年10月20日发行的同名EP《幸存者》和双EP专辑《幸存者·如你》中 [2]。
50,离开的那一些,《离开的那一些》是由方文山作词，林俊杰作曲并演唱的一首歌曲，收录于林俊杰2020年10月20日发行的双EP专辑《幸存者·如你》的《幸存者》EP中。 [1-2]
51,最好是,《最好是》是由张怀秋作词，林俊杰作曲并演唱的一首歌曲，收录于专辑《幸存者 Drifter》中。 [1]
52,暂时的记号,《暂时的记号》是由葛大为作词，林俊杰作曲并演唱的一首歌曲，收录于林俊杰2020年10月20日发行的双EP专辑《幸存者·如你》的《幸存者》EP中。 
53,交换余生,《交换余生》是林俊杰演唱的歌曲，由易家扬作词，林俊杰作曲，收录于林俊杰2020年发行的音乐EP《幸存者》。
54,背对背拥抱,《背对背拥抱》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。
55,As I Believe,《As I Believe》是林俊杰演唱的歌曲，由Dick Lee填词，林俊杰作曲，于2019年10月17日发行。歌曲是《对的时间点》的英文版 [1]。
56,Wonderland,《Wonderland》是由张怀秋填词，林俊杰作曲、编曲、制作并演唱的一首歌曲。 [1]于2019年10月14日发行。
57,将故事写成我们,《将故事写成我们》是林俊杰演唱的歌曲，由方文山作词，林俊杰作曲，于2019年9月20日以单曲形式发行。
58,对的时间点,《对的时间点》是林俊杰于2019年8月26日发行的专辑，共收录2首歌曲。
59,As I Believe,《As I Believe》是林俊杰演唱的歌曲，由Dick Lee填词，林俊杰作曲，于2019年10月17日发行。歌曲是《对的时间点》的英文版 [1]。
60,进阶,《进阶》是由林怡凤作词，林俊杰作曲、编曲并演唱的单曲，于2018年12月27日发行。
61,飞云之下,《飞云之下》是韩红和林俊杰演唱的歌曲，由易家扬作词，林俊杰作曲，于2018年4月23日作为单曲发行 [1]。
62,Despacito 缓缓,《缓缓》是西班牙语歌曲《Despacito》的中文版本，由原唱路易斯·冯西邀请林俊杰合唱，路易斯·冯西、Erika Ender、林俊杰、Jovany Barreto、Hong Tat Tong共同作曲，路易斯·冯西、Erika Ender、张怀秋共同作词，于2018年1月26日正式发行。 [1]
63,圣所,《圣所》是林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2017年12月28日发行的概念专辑《伟大的渺小》中。
64,伟大的渺小,《伟大的渺小》是林俊杰演唱的歌曲，由小寒填词，林俊杰谱曲，收录于林俊杰2017年发行的专辑《伟大的渺小》。
65,穿越,《穿越》是林俊杰演唱的歌曲，由林雨果作词，林俊杰作曲，收录在林俊杰2017年12月29日发行的概念专辑《伟大的渺小》中。
66,四点四十四,《四点四十四》是林俊杰演唱的歌曲，由张怀秋作词，林俊杰作曲，收录在林俊杰2017年12月29日发行的概念专辑《伟大的渺小》中。
67,我继续,《我继续》是林俊杰演唱的歌曲，由方文山作词，林俊杰作曲，收录在林俊杰2017年12月28日发行的概念专辑《伟大的渺小》中。
68,剪云者,《剪云者》是林俊杰演唱的歌曲，由易家扬作词，林俊杰作曲，收录在林俊杰2017年12月29日发行的概念专辑《伟大的渺小》中。
69,黑夜问白天,《黑夜问白天》是由易家扬作词，林俊杰作曲并演唱的一首歌曲，收录在林俊杰2017年12月28日发行的专辑《伟大的渺小》中。
70,丹宁执着,《丹宁执着》是由周信廷作词，林俊杰作曲，林俊杰和“消除联萌”演唱的歌曲 [1-2]，收录在林俊杰于2017年12月29日发行的概念专辑《伟大的渺小》中 [3]。
71,身为风帆,《身为风帆》是林俊杰演唱的歌曲，由姚若龙作词，林俊杰作曲，收录在林俊杰2017年12月29日发行的概念专辑《伟大的渺小》中。
72,小瓶子,《小瓶子》是林俊杰演唱的歌曲，由林俊杰、林怡凤作词，林俊杰作曲，作为林俊杰2017年12月28日发行的概念专辑《伟大的渺小》中细腻抒情主打，也是电影《假如王子睡着了》的印象曲。 [1]
73,Until the Day,《Until The Day》是由林俊杰亲自作词作曲并演唱的一首歌曲，也是专辑同名主打歌《伟大的渺小》的英文版，收录于2017年12月29日推出的第13张个人专辑《伟大的渺小》中。
74,黑夜问白天,《黑夜问白天》是由易家扬作词，林俊杰作曲并演唱的一首歌曲，收录在林俊杰2017年12月28日发行的专辑《伟大的渺小》中。
75,小瓶子,《小瓶子》是林俊杰演唱的歌曲，由林俊杰、林怡凤作词，林俊杰作曲，作为林俊杰2017年12月28日发行的概念专辑《伟大的渺小》中细腻抒情主打，也是电影《假如王子睡着了》的印象曲。 [1]
76,伟大的渺小,《伟大的渺小》是林俊杰演唱的歌曲，由小寒填词，林俊杰谱曲，收录于林俊杰2017年发行的专辑《伟大的渺小》。
77,Until The Day,《Until The Day》是由林俊杰亲自作词作曲并演唱的一首歌曲，也是专辑同名主打歌《伟大的渺小》的英文版，收录于2017年12月29日推出的第13张个人专辑《伟大的渺小》中。
78,丹宁执着,《丹宁执着》是由周信廷作词，林俊杰作曲，林俊杰和“消除联萌”演唱的歌曲 [1-2]，收录在林俊杰于2017年12月29日发行的概念专辑《伟大的渺小》中 [3]。
79,2infinity And Beyond,《2infinity And Beyond》林俊杰与日本潮牌教父Nigo合作的“Time Machine 时光机”主题曲，由Kyler England作词，林俊杰包揽作曲、编曲和制作，于2016年9月15日正式发行 [1]。
80,超越无限,《超越无限》是由林怡凤填词，林俊杰谱曲并演唱的歌曲，收录于2016年6月21日由华纳音乐发行的同名专辑《超越无限》中。是林俊杰个人音乐纪录片《听·见林俊杰》的主题曲 [1]。
81,序曲：调音,《序曲：调音》是林俊杰创作的音乐，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
82,不为谁而作的歌,《不为谁而作的歌》是林俊杰演唱的一首歌曲，由林秋离填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [25]，为该专辑的首波主打 [1]。
83,序曲：中场休息,《序曲：中场休息》是林俊杰创作的音乐，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
84,关键词,《关键词》是林俊杰演唱的一首歌曲，由林怡凤填词，林俊杰谱曲，吴庆隆编曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为该专辑的第三波主打，也是Horae Beauté韩媞的形象主题曲 [1-2]。
85,弹唱,《弹唱》是林俊杰演唱的一首歌曲，由张思尔填词，林俊杰谱曲，收录在2015年12月25日发行的实验专辑《和自己对话》中，为专辑的第四波主打。 [1]
86,有梦不难,《有梦不难》是林俊杰与张怀颢、周信廷合唱的一首歌曲，由方文山填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为该专辑的第二波主打 [1]。
87,序曲：Welcome to the Livehouse,《序曲：Welcome to the Livehouse》是林俊杰讲述的口白，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
